dateordered,productioncode,projectnumber,lotnumber,sequenceinlims,projectsynthesis,synthesisstarted,synthesisfinished,qualityevaluationpriortopurification,purificationstarted,purificationfinished,qcfinished,shippingdate,estshipdate
7/13/2018,58360,BC100870rev,,T,T,T,T,T,T,F,F,11/28/2020,11/30/2020
7/16/2018,58365,BC100876,BC100876.1,T,T,T,T,T,T,F,F,11/28/2020,11/30/2020
7/16/2018,58366,BC100876,BC100876.2,T,T,T,T,T,T,F,F,11/28/2020,11/30/2020
7/16/2018,58367,BC100876,BC100876.3,T,T,T,T,T,T,F,F,11/28/2020,11/30/2020
7/16/2018,58368,BC100876,BC100876.4,T,T,T,T,T,T,F,F,11/28/2020,11/30/2020
7/16/2018,58369,BC100876,BC100876.5,T,T,T,T,T,T,F,F,11/28/2020,11/30/2020
7/16/2018,58370,BC100876,BC100876.6,T,T,T,T,T,T,F,F,11/28/2020,11/30/2020
7/16/2018,58371,BC100876,BC100876.7,T,T,T,T,T,T,F,F,11/28/2020,11/30/2020
7/16/2018,58373,CM102326,CM102326.1,T,T,T,T,T,T,F,F,11/28/2020,11/30/2020
7/16/2018,58374,CM102326,CM102326.2,T,T,T,T,T,T,F,F,11/28/2020,11/30/2020
7/16/2018,58375,CM102326,CM102326.3,T,T,T,T,T,T,F,F,11/28/2020,11/30/2020
7/16/2018,58376,CM102326,CM102326.4,T,T,T,T,T,T,F,F,11/28/2020,11/30/2020
7/16/2018,58377,CM102326,CM102326.5,T,T,T,T,T,T,F,F,11/28/2020,11/30/2020
7/16/2018,58378,CM102326,CM102326.6,T,T,T,T,T,T,F,F,11/28/2020,11/30/2020
7/17/2018,58385,26184LCS,26184LCS.1,T,T,F,F,F,F,F,F,11/28/2020,11/30/2020
7/17/2018,58419,BC100895,BC100895.1,T,T,T,T,T,T,F,F,11/28/2020,11/30/2020
7/17/2018,58420,BC100895,BC100895.2,T,T,T,T,T,T,F,F,11/28/2020,11/30/2020
7/17/2018,58421,BC100895,BC100895.3,T,T,T,T,T,T,F,F,11/28/2020,11/30/2020
7/17/2018,58422,BC100895,BC100895.4,T,T,T,T,T,T,F,F,11/28/2020,11/30/2020
7/17/2018,58423,BC100895,BC100895.5,T,T,T,T,T,T,F,F,11/28/2020,11/30/2020
7/17/2018,58424,BC100895,BC100895.6,T,T,T,T,T,T,F,F,11/28/2020,11/30/2020
7/17/2018,58425,BC100895,BC100895.7,T,T,T,T,T,T,F,F,11/28/2020,11/30/2020
7/17/2018,58426,BC100895,BC100895.8,T,T,T,T,T,T,F,F,11/28/2020,11/30/2020
7/17/2018,58427,BC100895,BC100895.9,T,T,T,T,T,T,F,F,11/28/2020,11/30/2020
7/17/2018,58428,BC100895,BC100895.10,T,T,T,T,T,T,F,F,11/28/2020,11/30/2020
4/30/2020,65551,NJ101137,NJ101137.1,T,T,T,T,T,T,F,F,11/28/2020,11/30/2020
